date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:25	447284/447284	---M--	200	added ('OK')	binary/octet-stream	etag:%223e1487b11384ea515d1d930f438f45ee%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/c98ba22432cd48f9b15051692bf2615d.png	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/c98ba22432cd48f9b15051692bf2615d.png	(from https://www.bakeryswapes.org/nft.html)
18:17:25	8679552/8679552	---M--	200	added ('OK')	binary/octet-stream	etag:%229868c32b8245664bd901b101c781b1af%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/ee91715211ed444bbe2c6756b6e4f2ec.gif	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/ee91715211ed444bbe2c6756b6e4f2ec.gif	(from https://www.bakeryswapes.org/nft.html)
18:17:27	239997/239997	---M--	200	added ('OK')	binary/octet-stream	etag:%22b9dd36bdd91dd01af52ee5c34d1492d2%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/4b832b53e2d34793aada5d0b082cac93.jpg	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/4b832b53e2d34793aada5d0b082cac93.jpg	(from https://www.bakeryswapes.org/nft.html)
18:17:28	35545/35545	---M--	200	added ('OK')	binary/octet-stream	etag:%22eb50d97cc3a22fcc4fe6e20933f31994%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/5e2f63ee54c84006a7685c689412ea8d.jpg	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/5e2f63ee54c84006a7685c689412ea8d.jpg	(from https://www.bakeryswapes.org/nft.html)
18:17:30	8349/8349	---M-Z	200	added ('OK')	text/css	etag:%22209d-62383440-78213877a3110d5d;gz%22	https://www.bakeryswapes.org/launchpad.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/launchpad.css	(from https://www.bakeryswapes.org/launchpad.html)
18:17:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-61b1c7c7-5813f1d029db383b;gz%22	https://www.bakeryswapes.org/images/ido/more.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/ido/more.svg	(from https://www.bakeryswapes.org/launchpad.html)
18:17:31	5158/5158	---M-Z	200	added ('OK')	text/css	etag:%221426-62383440-1a267b8448411f1c;gz%22	https://www.bakeryswapes.org/gamification.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/gamification.css	(from https://www.bakeryswapes.org/gamification.html)
18:17:33	7086/7086	---M--	200	added ('OK')	image/png	etag:%220ba8ee5de775e9ed962aedc400688bff%22	https://www.bakeryswap.org/images/coins/1INCH.png	C:/My%20Web%20Sites/bakery/www.bakeryswap.org/images/coins/1INCH.png	(from https://www.bakeryswapes.org/connect.js)
18:17:33	2029/2029	---M--	200	added ('OK')	image/png	etag:%22a026e64d40217a101e98fbedf84d924e%22	https://www.bakeryswap.org/images/coins/AETH.png	C:/My%20Web%20Sites/bakery/www.bakeryswap.org/images/coins/AETH.png	(from https://www.bakeryswapes.org/connect.js)
18:17:34	1242/1242	---M--	200	added ('OK')	image/png	etag:%22fb8f3b953111dbed0cad5c007c68294d%22	https://www.bakeryswap.org/images/homeNew/avatarCheck.png	C:/My%20Web%20Sites/bakery/www.bakeryswap.org/images/homeNew/avatarCheck.png	(from https://www.bakeryswapes.org/index.css)
